,Data Medicao,PRECIPITACAO,TEMPERATURA_MAXIMA_MEDIA,TEMPERATURA_MEDIA,TEMPERATURA_MINIMA_MEDIA,PET,BAL,SPI6,SPEI3,Date,ano,mes,frequencia_incendios,mes_numero
0,1998-01-31,246.3,27.396774,22.299355,18.716129,143.629881630536,102.670118369464,-0.645231827300048,-0.877155392018083,01/1998,1998,Janeiro,0,1
1,1998-02-28,128.1,28.242857,23.052143,19.210714,130.768556440464,-2.66855644046422,-0.883086606408822,-0.78777550466685,02/1998,1998,Fevereiro,0,2
2,1998-03-31,263.1,28.177419,22.981935,19.016129,135.845003190529,127.254996809471,-0.939383591165736,0.306158692627795,03/1998,1998,Março,0,3
3,1998-04-30,67.0,28.416667,23.084667,19.163333,116.925413635604,-49.9254136356044,-0.89599905786306,-0.649762551021295,04/1998,1998,Abril,0,4
4,1998-05-31,38.8,26.019355,20.552903,16.303226,100.921859345249,-62.1218593452494,-0.547965319509287,-0.19561220488924,05/1998,1998,Maio,0,5
5,1998-06-30,7.4,25.57,19.483333,14.33,93.5637756586288,-86.1637756586288,-0.057832928529257,-0.493272049194946,06/1998,1998,Junho,2,6
6,1998-07-31,0.0,26.141935,19.844516,14.029032,103.90532012074,-103.90532012074,-0.388222582326636,0.615461261368548,07/1998,1998,Julho,17,7
7,1998-08-31,9.7,28.722581,22.444516,16.877419,124.621604615338,-114.921604615338,-0.0005306186763295,-0.194895203275738,08/1998,1998,Agosto,48,8
8,1998-09-30,20.7,30.593333,23.984,18.156667,147.47783791401,-126.77783791401,-0.642180076885905,-0.561441002592991,09/1998,1998,Setembro,31,9
9,1998-10-31,125.8,28.377419,22.690323,18.545161,145.648732540115,-19.8487325401145,0.0079503903260029,-0.0809672010854803,10/1998,1998,Outubro,3,10
10,1998-11-30,300.5,26.436667,21.247333,17.756667,134.112798116807,166.387201883193,0.216871289145522,0.32888280504474,11/1998,1998,Novembro,0,11
11,1998-12-31,167.8,26.735484,21.590323,18.187097,140.733967779939,27.0660322200607,-0.346550438773014,-0.197176812061644,12/1998,1998,Dezembro,0,12
12,1999-01-31,70.8,27.183871,22.078065,18.33871,143.937115666735,-73.1371156667355,-1.26799868098617,-1.26042003932388,01/1999,1999,Janeiro,0,1
13,1999-02-28,108.6,27.839286,22.529286,18.532143,131.01478738118,-22.41478738118,-1.69808301931384,-1.8730301725907,02/1999,1999,Fevereiro,2,2
14,1999-03-31,228.1,26.829032,21.842581,18.203226,128.374133078042,99.7258669219582,-1.53201342818112,-1.43695770204012,03/1999,1999,Março,0,3
15,1999-04-30,60.9,27.4,21.648,17.143333,118.607296671672,-57.7072966716715,-1.5457422138625,-1.01208103869656,04/1999,1999,Abril,0,4
16,1999-05-31,8.9,26.23871,20.208387,15.141935,106.550431725446,-97.6504317254456,-2.20329493608555,-0.67360611765427,05/1999,1999,Maio,0,5
17,1999-06-30,3.3,26.396667,20.141333,14.446667,97.6789999190134,-94.3789999190135,-1.82947267493346,-1.0763610667927,06/1999,1999,Junho,3,6
18,1999-07-31,0.0,25.748387,19.885161,14.748387,99.4428182097695,-99.4428182097695,-1.09243691306111,-0.761352634950339,07/1999,1999,Julho,4,7
19,1999-08-31,0.0,26.483871,19.899355,14.029032,119.782715056512,-119.782715056512,-0.641127968687727,-0.572021366023637,08/1999,1999,Agosto,15,8
20,1999-09-30,59.9,28.656667,22.436,17.286667,136.319626054548,-76.4196260545476,-0.774571441046337,0.450109710754552,09/1999,1999,Setembro,12,9
21,1999-10-31,200.1,27.493548,22.233548,17.987097,140.712824680356,59.3871753196445,0.600473720443075,0.892673524158651,10/1999,1999,Outubro,8,10
22,1999-11-30,289.8,26.163333,20.998667,17.496667,133.114034797867,156.685965202133,0.822211039575022,1.0782654280912,11/1999,1999,Novembro,1,11
23,1999-12-31,206.3,25.741935,21.066452,17.806452,133.280897631358,73.0191023686423,0.484311326014566,0.591579491843894,12/1999,1999,Dezembro,0,12
24,2000-01-31,130.0,26.545161,21.614194,18.151613,138.787084094174,-8.78708409417379,0.0496753832635195,-0.36101839546706,01/2000,2000,Janeiro,0,1
25,2000-02-29,168.3,26.672414,21.56,17.810345,124.898208032479,43.4017919675212,0.0447343131327112,-0.848788572299078,02/2000,2000,Fevereiro,0,2
26,2000-03-31,229.6,26.006452,21.314839,18.067742,121.691853605834,107.908146394166,-0.0604254599783407,-0.301688344172582,03/2000,2000,Março,0,3
27,2000-04-30,98.8,26.476667,21.133333,16.99,112.535913254877,-13.7359132548772,-0.505860824163565,-0.21860943389236,04/2000,2000,Abril,0,4
28,2000-05-31,0.0,26.458065,20.374194,15.016129,108.32632925762,-108.32632925762,-0.95101501216414,-0.39915543941539,05/2000,2000,Maio,2,5
29,2000-06-30,0.0,25.68,19.254,13.54,96.3617500948532,-96.3617500948532,-0.80559460221889,-0.721775280853366,06/2000,2000,Junho,1,6
30,2000-07-31,0.2,25.574194,18.994194,13.596774,101.958978967387,-101.758978967387,-0.440604076551667,-1.33152577752892,07/2000,2000,Julho,15,7
31,2000-08-31,56.3,27.716129,21.50129,15.903226,121.416141787745,-65.1161417877453,-0.0081985865715719,1.1951309060786,08/2000,2000,Agosto,9,8
32,2000-09-30,105.3,26.956667,21.299333,17.016667,124.379966787108,-19.0799667871077,0.504625138387376,1.78653334831749,09/2000,2000,Setembro,3,9
33,2000-10-31,201.8,29.23871,23.277419,18.422581,154.12970563735,47.6702943626496,1.24096958872004,1.40426686359575,10/2000,2000,Outubro,17,10
34,2000-11-30,231.7,25.526667,20.743333,17.693333,125.850081847584,105.849918152416,1.08694540313196,1.05066597359482,11/2000,2000,Novembro,0,11
35,2000-12-31,155.3,26.745161,21.556774,18.354839,139.733972713599,15.566027286401,0.451603430649512,-0.228760992741067,12/2000,2000,Dezembro,0,12
36,2001-01-31,179.4,26.970968,22.092258,18.116129,143.242730129048,36.1572698709524,0.324031305014055,-0.93072003718832,01/2001,2001,Janeiro,0,1
37,2001-02-28,105.9,28.528571,22.525714,18.125,138.993853727391,-33.0938537273908,-0.42469027466305,-1.41192677423847,02/2001,2001,Fevereiro,1,2
38,2001-03-31,191.5,26.312903,21.361935,17.73871,126.432888875473,65.067111124527,-1.08788101732605,-0.899536612612578,03/2001,2001,Março,0,3
39,2001-04-30,145.4,27.176667,21.854,17.753333,114.235443229263,31.1645567707373,-1.1253006926853,-0.727114753661619,04/2001,2001,Abril,0,4
40,2001-05-31,36.2,26.6,20.815484,16.225806,104.957010291812,-68.7570102918121,-1.07012936585661,-0.108771769804332,05/2001,2001,Maio,0,5
41,2001-06-30,0.0,25.42,19.406667,14.58,92.0055589951896,-92.0055589951896,-0.605562832538495,0.245309568697548,06/2001,2001,Junho,3,6
42,2001-07-31,14.6,25.832258,19.833548,14.564516,100.513510105266,-85.9135101052659,-0.463821064488894,0.775010181409402,07/2001,2001,Julho,22,7
43,2001-08-31,38.5,25.422581,19.526452,14.590323,110.974251107296,-72.4742511072957,0.270226216143417,1.484619942016,08/2001,2001,Agosto,25,8
44,2001-09-30,50.5,27.603333,21.827333,17.17,128.710270349796,-78.2102703497959,0.698888327369783,1.29225542672807,09/2001,2001,Setembro,13,9
45,2001-10-31,132.5,25.987097,21.096129,17.280645,130.986727285805,1.51327271419547,0.601245857379736,0.815672198426068,10/2001,2001,Outubro,0,10
46,2001-11-30,199.6,25.816667,21.254,18.126667,125.837681961122,73.7623180388783,0.0076084399553329,0.15812565663832,11/2001,2001,Novembro,0,11
47,2001-12-31,191.4,25.987097,21.448387,18.254839,132.716030937284,58.6839690627159,-0.32905218344211,-0.472986721337427,12/2001,2001,Dezembro,1,12
48,2002-01-31,208.3,26.43871,21.721935,18.43871,135.799197428204,72.5008025717964,-0.377648893119773,-0.504392853978703,01/2002,2002,Janeiro,0,1
49,2002-02-28,233.0,26.482143,21.485,18.128571,121.455758127718,111.544241872282,-0.197099868539494,0.173258910437616,02/2002,2002,Fevereiro,0,2
50,2002-03-31,133.8,27.309677,22.347742,18.570968,130.571067806224,3.22893219377616,-0.865893521731339,0.0314691834118408,03/2002,2002,Março,0,3
51,2002-04-30,90.1,26.626667,22.000667,17.796667,109.88486346491,-19.7848634649102,-0.863583188381052,-0.511769422343511,04/2002,2002,Abril,1,4
52,2002-05-31,18.2,26.329032,20.874194,16.267742,103.060192220427,-84.8601922204271,-0.699300103161589,-0.955565270893291,05/2002,2002,Maio,1,5
53,2002-06-30,0.0,24.886667,19.396,14.443333,89.5061647087061,-89.5061647087061,-0.452355069133077,-0.44765912358355,06/2002,2002,Junho,7,6
54,2002-07-31,16.5,26.193548,20.101935,14.935484,101.438404819909,-84.9384048199094,-0.477943033481528,0.395203703573501,07/2002,2002,Julho,38,7
55,2002-08-31,17.8,27.293548,21.537419,16.277419,117.178318931122,-99.3783189311224,-0.851441688845966,0.914272454286213,08/2002,2002,Agosto,49,8
56,2002-09-30,67.8,27.776667,21.912667,17.013333,130.757053891765,-62.9570538917645,0.0669419737982946,1.16521506991552,09/2002,2002,Setembro,41,9
57,2002-10-31,57.5,30.519355,24.551613,19.358065,160.737008266935,-103.237008266935,-0.233469427463663,-0.120437780191488,10/2002,2002,Outubro,22,10
58,2002-11-30,175.1,27.493333,22.470667,18.523333,139.450097148169,35.6499028518305,-0.820986940700993,-0.938857579027337,11/2002,2002,Novembro,1,11
59,2002-12-31,371.4,27.116129,22.26129,18.854839,140.151808922549,231.248191077451,0.180933053894438,-0.266656738176036,12/2002,2002,Dezembro,1,12
60,2003-01-31,229.4,26.790323,21.832903,18.674194,137.779128950734,91.620871049266,0.257038911119595,0.761471014345719,01/2003,2003,Janeiro,0,1
61,2003-02-28,164.3,27.235714,22.289286,18.460714,126.16667082589,38.1333291741102,0.112294756596235,1.08317915153366,02/2003,2003,Fevereiro,1,2
62,2003-03-31,208.2,26.064516,21.089677,17.783871,123.932732820412,84.2672671795877,-0.17369372953445,0.217811114423934,03/2003,2003,Março,0,3
63,2003-04-30,75.2,26.696667,21.806667,17.976667,109.539416493275,-34.3394164932748,0.0093948899246717,-0.558991535526073,04/2003,2003,Abril,0,4
64,2003-05-31,8.7,25.335484,19.772903,15.083871,101.133621684177,-92.4336216841766,0.31328683287656,-0.588599041845032,05/2003,2003,Maio,1,5
65,2003-06-30,0.0,25.756667,19.654667,14.083333,95.2745195397046,-95.2745195397046,-0.437847215954353,-0.762870819366561,06/2003,2003,Junho,32,6
66,2003-07-31,0.0,25.23871,18.952258,13.622581,99.9935783061462,-99.9935783061462,-0.733118474171776,-0.617672045903135,07/2003,2003,Julho,50,7
67,2003-08-31,62.4,27.267742,20.894194,15.619355,119.453249641949,-57.0532496419491,-0.226199173762284,1.44428008381339,08/2003,2003,Agosto,43,8
68,2003-09-30,11.3,28.16,22.479333,17.71,130.570645500058,-119.270645500058,-0.477308490587205,0.766109816784366,09/2003,2003,Setembro,22,9
69,2003-10-31,64.8,28.135484,22.428387,18.009677,146.41452252085,-81.6145225208499,-0.567907009593679,-0.0460119785233802,10/2003,2003,Outubro,12,10
70,2003-11-30,276.4,26.82,21.734667,17.973333,136.412329042179,139.987670957821,-0.151510128396347,-0.316593785890102,11/2003,2003,Novembro,0,11
71,2003-12-31,191.5,28.022581,23.064516,18.819355,149.505573378847,41.9944266211527,-0.469744528708989,-0.702095718634949,12/2003,2003,Dezembro,0,12
72,2004-01-31,344.4,25.464516,21.178065,18.822581,122.829339090024,221.570660909976,0.452829844848502,1.06161611191444,01/2004,2004,Janeiro,0,1
73,2004-02-29,422.3,25.503448,20.788966,17.975862,113.668558129839,308.631441870161,1.49873427061646,2.39423614792308,02/2004,2004,Fevereiro,0,2
