"Data Medicao","PRECIPITACAO","TEMPERATURA_MAXIMA_MEDIA","TEMPERATURA_MEDIA","TEMPERATURA_MINIMA_MEDIA","PET","BAL","SPI6","SPEI3"
"1/31/1992",171.6,24.758065,20.575484,18.003226,121.50306912846,50.0969308715398,NA,NA
"2/29/1992",313.8,24.444828,19.995172,17.131034,109.345890994799,204.454109005201,NA,NA
"3/31/1992",135.8,25.706452,20.831613,17.577419,121.920438588852,13.8795614111483,NA,0.564201149002012
"4/30/1992",297.9,26.386667,21.066667,17.55,109.257815320481,188.642184679519,NA,1.4320053193722
"5/31/1992",4.5,26.374194,20.685806,16.112903,103.933501197205,-99.4335011972053,NA,0.438220135342685
"6/30/1992",0,24.566667,18.460667,13.46,90.6994488698746,-90.6994488698746,0.857795970884715,1.31089145698417
"7/31/1992",0,24.696774,18.667097,13.658065,96.8136454512103,-96.8136454512103,1.10902528661167,-0.588987587532515
"8/31/1992",19.5,26.287097,20.032258,15.1,114.82685045641,-95.3268504564098,0.470747458948069,0.638881991866995
"9/30/1992",95.4,25.606667,20.267333,16.713333,115.204895681467,-19.8048956814667,1.59016894782607,1.55266796363394
"10/31/1992",202.8,26.370968,20.918065,17.53871,133.003523807201,69.7964761927988,0.965554831976046,1.36608502970762
"11/30/1992",339,25.693333,20.431333,17.413333,129.20235630164,209.79764369836,1.45114857507206,1.61670505978304
"12/31/1992",256.7,24.783871,20.087097,17.219355,127.58790487654,129.11209512346,1.36008292290929,1.30147865428014
"1/31/1993",114.6,27.045161,21.670968,17.351613,148.59083426094,-33.9908342609396,0.910750077209405,0.357428026951901
"2/28/1993",258.1,25.575,20.52,17.232143,118.648607626258,139.451392373742,1.26282776639811,0.108434709528581
"3/31/1993",75.1,28.180645,22.450323,17.754839,142.715233386723,-67.6152333867232,0.0762254752116005,-1.15235008855002
"4/30/1993",93.7,26.886667,21.460667,17.246667,114.398234196143,-20.6982341961432,-0.430404360959902,-0.806877242279609
"5/31/1993",24.1,25.222581,19.314839,14.845161,101.281645684505,-77.1816456845051,-1.01681843678627,-1.31139282831041
"6/30/1993",6.7,24.873333,18.689333,13.983333,90.8228565536472,-84.1228565536472,-1.16552757200638,-0.312096854209584
"7/31/1993",0,26.209677,19.568387,13.922581,104.596310752747,-104.596310752747,-0.723461165186119,0.176900962233658
"8/31/1993",37.1,26.848387,20.585161,15.090323,118.564121734205,-81.4641217342047,-1.21706003140331,1.01567808333418
"9/30/1993",75.1,28.55,22.35037,17.653333,133.8774797427,-58.7774797427004,0.303962828478482,1.19504564169391
"10/31/1993",75.1,27.503226,22.135484,17.903226,141.274086175719,-66.1740861757193,0.151850562108991,0.406700576339011
"11/30/1993",225,27.576667,22.088667,18.393333,141.017951581335,83.982048418665,-0.119729324503343,-0.147703258596601
"12/31/1993",296.5,25.674194,21.032903,17.970968,131.476530452404,165.023469547596,0.197673554940538,-0.132648557354729
"1/31/1994",166.8,25.893548,21.229677,17.870968,134.11012431454,32.6898756854602,-0.0175827346405719,0.167474474431563
"2/28/1994",134.8,27.175,21.898571,17.875,128.853275473417,5.94672452658349,-0.463914921422779,-0.135835963582261
"3/31/1994",324.4,25.603226,20.931613,17.770968,119.811237398543,204.588762601457,-0.0697180643369316,0.409264812587814
"4/30/1994",143.1,26.2,21.19,17.676667,107.22233329209,35.8776667079096,0.3363705580441,0.516591244458751
"5/31/1994",69.4,26.13871,20.603871,16.4,101.319311957988,-31.9193119579878,0.709753132289783,1.17903466253969
"6/30/1994",12,24.36,18.483333,13.593333,89.2114563972302,-77.2114563972302,0.485858435493244,0.769283645142112
"7/31/1994",4,24.293548,18.203226,13.222581,95.855448533959,-91.855448533959,0.756098826174954,1.77378899909102
"8/31/1994",0,27.051613,20.54129,14.709677,121.194289029325,-121.194289029325,1.02643331885707,0.384493983860849
"9/30/1994",0,29.496667,23.224667,17.676667,141.087609861587,-141.087609861587,0.23203288811621,-0.755957814779073
